age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income50k
22,Official,Some-college,10,Married,Service,Husband,Black,Male,0,0,15,United-States,0
48,Private,MS-grad,7,Never-married,Operator-Fabricator-Laborer,Unmarried,White,Male,0,0,40,Latin-America,0
21,Private,Some-college,10,Never-married,Operator-Fabricator-Laborer,Own-child,White,Male,0,0,40,United-States,0
19,Private,HS-grad,9,Married,Tech-Sales-AdmSupport,Wife,White,Female,0,0,25,United-States,0
31,Private,Some-college,10,Married,Tech-Sales-AdmSupport,Husband,White,Male,0,0,38,,1
48,Self-employed,Some-school,12,Married,Managerial-ProfSpecialty,Husband,White,Male,0,0,40,United-States,0
31,Private,other,5,Married,Operator-Fabricator-Laborer,Husband,White,Male,0,0,43,United-States,0
53,Self-employed,Bachelors,13,Married,Managerial-ProfSpecialty,Husband,White,Male,0,0,40,United-States,0
24,Private,Bachelors,13,Married,Tech-Sales-AdmSupport,Husband,White,Male,0,0,50,United-States,0
49,Private,HS-grad,9,other,Tech-Sales-AdmSupport,Unmarried,White,Female,0,0,40,United-States,0
25,Private,HS-grad,9,Never-married,Operator-Fabricator-Laborer,Not-in-family,White,Male,0,0,35,United-States,0
57,Official,Bachelors,13,Married,Managerial-ProfSpecialty,Husband,Black,Male,0,0,40,United-States,1
53,Private,HS-grad,9,Married,Operator-Fabricator-Laborer,Husband,White,Male,0,0,38,United-States,0
44,Private,Masters,14,Divorced,Managerial-ProfSpecialty,Unmarried,White,Female,0,0,40,United-States,0
41,Official,Some-school,11,Married,PrecisionProduction-Craft-Repair,Husband,White,Male,0,0,40,United-States,0
29,Private,Some-school,11,Never-married,Managerial-ProfSpecialty,Not-in-family,White,Male,0,0,43,United-States,0
25,Private,Some-college,10,Married,Managerial-ProfSpecialty,Wife,Other,Female,0,0,40,United-States,0
18,Private,HS-grad,9,Never-married,Service,Own-child,White,Female,0,0,30,,0
47,Private,Masters,15,Married,Managerial-ProfSpecialty,Wife,White,Female,0,1902,60,Latin-America,1
50,Official,Bachelors,13,Divorced,Managerial-ProfSpecialty,Not-in-family,White,Male,0,0,55,United-States,1
47,Self-employed,HS-grad,9,Divorced,Managerial-ProfSpecialty,Not-in-family,White,Male,0,0,60,United-States,0
43,Private,Some-college,10,Married,Tech-Sales-AdmSupport,Husband,White,Male,0,0,40,United-States,1
46,Private,other,3,Married,Operator-Fabricator-Laborer,Husband,White,Male,0,0,40,Latin-America,0
35,Private,Some-school,11,Married,Service,Husband,White,Male,0,0,40,Latin-America,0
41,Private,HS-grad,9,Married,Tech-Sales-AdmSupport,Husband,White,Male,0,0,48,United-States,0
30,Private,HS-grad,9,Married,Operator-Fabricator-Laborer,Husband,White,Male,5013,0,40,United-States,0
30,Private,Bachelors,13,Married,Tech-Sales-AdmSupport,Husband,White,Male,2407,0,40,United-States,0
32,,other,4,other,,Not-in-family,White,Male,0,0,40,,0
48,Private,HS-grad,9,Married,Operator-Fabricator-Laborer,Husband,White,Male,0,0,40,United-States,0
42,Private,Doctorate,16,Married,Managerial-ProfSpecialty,Husband,White,Male,0,0,45,United-States,1
29,Private,Some-college,10,Divorced,Tech-Sales-AdmSupport,Not-in-family,White,Male,0,0,58,United-States,0
36,Private,HS-grad,9,Married,PrecisionProduction-Craft-Repair,Husband,White,Male,0,0,40,United-States,0
28,Private,Some-college,10,Divorced,Tech-Sales-AdmSupport,Not-in-family,White,Female,0,0,40,United-States,0
53,Private,HS-grad,9,Married,Tech-Sales-AdmSupport,Wife,White,Female,0,0,40,United-States,1
49,Self-employed,Some-college,10,Married,Managerial-ProfSpecialty,Husband,White,Male,0,0,50,United-States,1
25,,Some-college,10,Never-married,,Own-child,White,Male,0,0,40,United-States,0
19,Private,Some-college,10,Never-married,Managerial-ProfSpecialty,Own-child,White,Male,0,0,32,United-States,0
31,Private,Bachelors,13,other,Tech-Sales-AdmSupport,Own-child,Black,Female,0,0,40,United-States,0
29,Self-employed,Bachelors,13,Married,Tech-Sales-AdmSupport,Husband,White,Male,0,0,70,United-States,1
23,Private,Some-college,10,Never-married,Operator-Fabricator-Laborer,Not-in-family,White,Male,0,0,40,United-States,0
79,Private,Some-college,10,Married,Managerial-ProfSpecialty,Other-relative,White,Male,0,0,20,United-States,0
27,Private,HS-grad,9,Never-married,Service,Own-child,White,Male,0,0,40,Latin-America,0
40,Private,Some-school,12,Married,Tech-Sales-AdmSupport,Husband,White,Male,0,0,40,United-States,0
67,,other,6,Married,,Husband,White,Male,0,0,2,United-States,0
18,Private,MS-grad,7,Never-married,Service,Own-child,White,Female,0,0,22,United-States,0
31,Official,other,4,Married,Farming-Forestry-Fishing,Husband,White,Male,0,0,40,United-States,0
18,Private,HS-grad,9,Never-married,Tech-Sales-AdmSupport,Not-in-family,White,Male,0,0,30,United-States,0
52,Private,Bachelors,13,Married,Service,Husband,White,Male,0,0,40,Latin-America,0
46,Private,HS-grad,9,Married,Service,Wife,White,Female,0,0,40,United-States,0
59,Private,HS-grad,9,Married,Tech-Sales-AdmSupport,Husband,White,Male,0,0,48,United-States,0
44,Private,HS-grad,9,Divorced,PrecisionProduction-Craft-Repair,Not-in-family,White,Female,14344,0,40,United-States,1
53,Private,HS-grad,9,Divorced,Tech-Sales-AdmSupport,Own-child,White,Female,0,0,35,United-States,0
49,Official,HS-grad,9,Married,Service,Husband,White,Male,0,0,40,United-States,1
33,Private,Masters,14,Married,Managerial-ProfSpecialty,Husband,White,Male,0,0,50,United-States,0
30,Private,other,5,Never-married,Tech-Sales-AdmSupport,Not-in-family,White,Male,0,0,40,United-States,0
43,Official,Doctorate,16,Never-married,Managerial-ProfSpecialty,Not-in-family,White,Female,0,0,50,United-States,1
57,Private,Some-school,11,Married,Managerial-ProfSpecialty,Husband,White,Male,0,0,40,United-States,0
37,Private,Some-college,10,Divorced,PrecisionProduction-Craft-Repair,Unmarried,White,Female,0,0,40,United-States,0
28,Private,Some-college,10,Divorced,Operator-Fabricator-Laborer,Unmarried,Black,Female,0,0,25,United-States,0
30,Private,HS-grad,9,Married,Tech-Sales-AdmSupport,Wife,Asian-Pac-Islander,Female,0,1573,35,,0
34,Official,Bachelors,13,Married,Service,Husband,White,Male,0,0,40,United-States,1
29,Official,Some-college,10,Never-married,Operator-Fabricator-Laborer,Not-in-family,White,Male,0,0,50,United-States,0
48,Self-employed,Doctorate,16,Married,Managerial-ProfSpecialty,Husband,White,Male,0,1902,60,United-States,1
37,Private,Some-college,10,Married,Tech-Sales-AdmSupport,Husband,White,Male,0,0,48,United-States,1
48,Private,Some-school,12,Divorced,Managerial-ProfSpecialty,Unmarried,White,Female,0,0,40,Europe,0
32,Official,HS-grad,9,Never-married,Service,Own-child,Black,Male,0,0,40,United-States,0
76,Private,Masters,14,Married,Managerial-ProfSpecialty,Husband,White,Male,0,0,40,United-States,1
44,Private,Bachelors,13,Married,Managerial-ProfSpecialty,Husband,White,Male,15024,0,60,United-States,1
47,Self-employed,Masters,14,Never-married,Managerial-ProfSpecialty,Not-in-family,White,Female,0,0,50,United-States,0
20,Private,Some-college,10,Never-married,Tech-Sales-AdmSupport,Own-child,White,Female,0,0,40,United-States,0
29,Private,HS-grad,9,Never-married,PrecisionProduction-Craft-Repair,Not-in-family,White,Male,0,0,40,United-States,0
32,Self-employed,HS-grad,9,Married,PrecisionProduction-Craft-Repair,Husband,White,Male,7688,0,40,United-States,1
17,,other,6,Never-married,,Own-child,White,Female,34095,0,32,United-States,0
30,Private,MS-grad,7,Never-married,Operator-Fabricator-Laborer,Own-child,White,Male,0,0,40,United-States,0
31,Official,HS-grad,9,Never-married,Tech-Sales-AdmSupport,Not-in-family,White,Female,0,0,40,United-States,0
42,Private,HS-grad,9,Married,Operator-Fabricator-Laborer,Husband,White,Male,0,0,40,United-States,0
24,Private,Bachelors,13,Never-married,Tech-Sales-AdmSupport,Other-relative,White,Male,0,0,40,United-States,0
38,Private,Masters,15,Married,Managerial-ProfSpecialty,Husband,White,Male,0,0,40,United-States,1
56,Self-employed,HS-grad,9,Married,Service,Husband,White,Male,0,1887,50,North-America,1
28,Private,Some-college,10,Married,Tech-Sales-AdmSupport,Wife,White,Female,4064,0,25,United-States,0
36,Private,HS-grad,9,Never-married,Operator-Fabricator-Laborer,Own-child,White,Female,0,0,40,United-States,0
53,Private,other,5,Married,Operator-Fabricator-Laborer,Husband,White,Male,0,0,50,United-States,0
56,Self-employed,Some-college,10,Married,Tech-Sales-AdmSupport,Husband,White,Male,0,0,50,United-States,0
49,Official,Some-school,11,Married,PrecisionProduction-Craft-Repair,Husband,Black,Male,0,0,40,United-States,1
55,Private,Some-college,10,Married,Tech-Sales-AdmSupport,Husband,White,Male,0,0,56,United-States,0
22,Private,HS-grad,9,Never-married,PrecisionProduction-Craft-Repair,Not-in-family,White,Male,0,0,41,United-States,0
21,Private,Some-college,10,Never-married,Service,Own-child,White,Female,0,0,40,United-States,0
40,Private,Bachelors,13,Married,Managerial-ProfSpecialty,Husband,White,Male,0,0,60,United-States,0
30,Private,Bachelors,13,Never-married,Managerial-ProfSpecialty,Own-child,Black,Male,0,0,40,Europe,0
29,Official,Bachelors,13,Married,Managerial-ProfSpecialty,Husband,White,Male,0,0,50,United-States,1
19,Private,Some-college,10,Never-married,Service,Own-child,Black,Male,0,0,35,United-States,0
47,Private,Bachelors,13,Married,Managerial-ProfSpecialty,Wife,White,Female,0,0,40,United-States,1
20,Private,Some-college,10,Never-married,Tech-Sales-AdmSupport,Own-child,White,Female,0,1719,28,United-States,0
31,Private,Some-school,12,Married,Tech-Sales-AdmSupport,Husband,White,Male,0,0,40,United-States,1
35,,HS-grad,9,Married,,Husband,White,Male,0,0,40,United-States,0
39,Private,Some-college,10,Divorced,PrecisionProduction-Craft-Repair,Not-in-family,White,Male,0,0,40,United-States,0
28,Private,Some-school,12,Never-married,Tech-Sales-AdmSupport,Not-in-family,White,Female,0,0,60,United-States,0
24,Private,HS-grad,9,Never-married,Service,Not-in-family,White,Female,0,1762,40,United-States,0
38,Self-employed,HS-grad,9,Married,PrecisionProduction-Craft-Repair,Husband,White,Male,4386,0,35,United-States,0
37,Private,Bachelors,13,Married,Tech-Sales-AdmSupport,Husband,White,Male,0,0,50,United-States,0
46,Private,Some-school,12,Divorced,Tech-Sales-AdmSupport,Not-in-family,Black,Female,0,0,36,United-States,0
38,Official,Masters,14,Married,Managerial-ProfSpecialty,Husband,White,Male,0,0,40,Asia,1
43,Self-employed,HS-grad,9,Married,PrecisionProduction-Craft-Repair,Husband,White,Male,0,0,60,United-States,0
27,Private,Some-school,11,Married,Tech-Sales-AdmSupport,Wife,White,Female,0,0,35,United-States,0
20,Private,Some-college,10,Never-married,Tech-Sales-AdmSupport,Own-child,White,Male,0,0,20,United-States,0
49,Private,Some-college,10,Married,PrecisionProduction-Craft-Repair,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,1
61,Self-employed,HS-grad,9,Married,PrecisionProduction-Craft-Repair,Husband,White,Male,0,0,40,United-States,0
27,Private,Some-college,10,Never-married,Tech-Sales-AdmSupport,Own-child,White,Female,0,0,40,United-States,0
19,Private,Some-college,10,Never-married,Service,Own-child,White,Male,0,0,30,Latin-America,0
45,Private,Some-school,11,Never-married,Managerial-ProfSpecialty,Not-in-family,White,Female,0,1564,40,United-States,1
70,Private,Some-college,10,Never-married,Tech-Sales-AdmSupport,Other-relative,White,Male,0,0,40,United-States,0
31,Private,HS-grad,9,Never-married,Operator-Fabricator-Laborer,Unmarried,Black,Female,0,0,30,United-States,0
22,Private,Some-college,10,Married,Service,Husband,White,Male,0,0,24,United-States,0
36,Private,HS-grad,9,other,Service,Unmarried,White,Female,0,0,24,United-States,0
64,Private,MS-grad,7,Married,PrecisionProduction-Craft-Repair,Husband,White,Male,0,2179,40,United-States,0
43,,Some-college,10,Divorced,,Not-in-family,White,Female,0,0,40,United-States,0
47,Official,Some-college,10,Divorced,Tech-Sales-AdmSupport,Unmarried,White,Female,0,0,38,Latin-America,0
34,Private,HS-grad,9,Never-married,Tech-Sales-AdmSupport,Not-in-family,White,Female,0,0,40,United-States,0
33,Private,Bachelors,13,Never-married,Managerial-ProfSpecialty,Other-relative,Asian-Pac-Islander,Female,0,0,40,Asia,0
21,Private,HS-grad,9,Never-married,PrecisionProduction-Craft-Repair,Own-child,White,Male,0,0,35,United-States,0
52,,HS-grad,9,Divorced,,Not-in-family,White,Male,0,0,45,United-States,1
48,Private,HS-grad,9,Married,PrecisionProduction-Craft-Repair,Husband,White,Male,0,0,46,United-States,0
23,Private,Bachelors,13,Never-married,Operator-Fabricator-Laborer,Not-in-family,White,Male,0,0,40,United-States,0
71,Self-employed,Some-college,10,other,Tech-Sales-AdmSupport,Unmarried,Black,Male,0,1816,2,United-States,0
29,Private,HS-grad,9,Divorced,PrecisionProduction-Craft-Repair,Not-in-family,White,Male,0,0,60,United-States,0
42,Private,Bachelors,13,other,Service,Other-relative,Black,Male,0,0,50,United-States,0
68,,other,2,Divorced,,Not-in-family,White,Female,0,0,20,United-States,0
25,Private,HS-grad,9,Never-married,Service,Unmarried,White,Female,0,0,40,United-States,0
44,Self-employed,Masters,14,Divorced,Managerial-ProfSpecialty,Unmarried,Asian-Pac-Islander,Female,0,0,40,United-States,0
28,Private,HS-grad,9,Never-married,Managerial-ProfSpecialty,Not-in-family,Asian-Pac-Islander,Female,0,0,40,Europe,0
45,Self-employed,Masters,14,Married,Tech-Sales-AdmSupport,Husband,White,Male,0,0,40,United-States,1
36,Private,Some-college,10,Divorced,Service,Unmarried,White,Female,0,0,40,Latin-America,0
39,Official,Some-school,12,Never-married,Managerial-ProfSpecialty,Not-in-family,White,Male,0,0,42,United-States,0
46,Official,Masters,14,other,Service,Unmarried,White,Male,0,0,40,United-States,0
18,Private,MS-grad,7,Never-married,Operator-Fabricator-Laborer,Own-child,White,Male,0,0,16,United-States,0
66,Official,Some-school,11,other,Managerial-ProfSpecialty,Not-in-family,White,Female,0,0,20,United-States,0
27,Private,HS-grad,9,Never-married,Service,Not-in-family,White,Male,0,1980,40,United-States,0
28,Official,HS-grad,9,Married,Service,Husband,White,Male,0,0,40,United-States,0
51,Private,Some-college,10,Married,Tech-Sales-AdmSupport,Husband,White,Male,0,1977,40,United-States,1
27,Private,Bachelors,13,Never-married,PrecisionProduction-Craft-Repair,Not-in-family,White,Male,0,0,50,United-States,0
28,Official,Bachelors,13,Married,Managerial-ProfSpecialty,Husband,White,Male,0,0,40,United-States,1
27,Private,HS-grad,9,other,Tech-Sales-AdmSupport,Unmarried,White,Female,0,0,25,United-States,0
21,Private,HS-grad,9,Never-married,PrecisionProduction-Craft-Repair,Own-child,Black,Male,0,0,40,United-States,0
34,Private,HS-grad,9,Never-married,Operator-Fabricator-Laborer,Not-in-family,Black,Male,0,0,40,United-States,0
18,Private,HS-grad,9,Never-married,Service,Own-child,White,Male,0,0,12,United-States,0
33,Private,Bachelors,13,Married,Managerial-ProfSpecialty,Husband,White,Male,0,0,65,United-States,0
44,Official,Some-college,10,Married,Managerial-ProfSpecialty,Husband,Black,Male,0,0,38,United-States,1
43,Private,Some-college,10,Divorced,Tech-Sales-AdmSupport,Not-in-family,White,Female,0,0,40,United-States,0
30,Private,Some-college,10,Never-married,PrecisionProduction-Craft-Repair,Not-in-family,Black,Male,0,0,45,United-States,0
40,Private,other,4,Married,Operator-Fabricator-Laborer,Husband,White,Male,0,0,40,Latin-America,1
37,Official,Some-college,10,Married,Tech-Sales-AdmSupport,Husband,White,Male,0,0,42,United-States,1
34,Private,HS-grad,9,Married,Tech-Sales-AdmSupport,Husband,Black,Male,0,0,40,United-States,0
41,Self-employed,Bachelors,13,Divorced,Managerial-ProfSpecialty,Not-in-family,White,Female,0,0,40,United-States,0
53,,Bachelors,13,Divorced,,Not-in-family,White,Female,0,0,50,United-States,0
31,Private,Masters,14,Married,Managerial-ProfSpecialty,Wife,White,Female,0,0,50,United-States,0
58,Official,Doctorate,16,Married,Managerial-ProfSpecialty,Husband,White,Male,0,0,1,United-States,1
38,Private,Some-college,10,Divorced,Operator-Fabricator-Laborer,Not-in-family,Black,Female,0,0,28,United-States,0
24,Private,Some-college,10,Married,Operator-Fabricator-Laborer,Husband,White,Male,0,0,40,United-States,0
41,Official,Bachelors,13,Married,PrecisionProduction-Craft-Repair,Husband,Black,Male,0,0,40,United-States,0
47,Private,Some-college,10,Married,Tech-Sales-AdmSupport,Husband,White,Male,0,0,45,United-States,0
41,Official,Bachelors,13,Married,Tech-Sales-AdmSupport,Husband,White,Male,0,0,24,United-States,0
23,Private,other,3,Married,Operator-Fabricator-Laborer,Other-relative,White,Male,0,0,40,Latin-America,0
36,Private,Some-college,10,Divorced,PrecisionProduction-Craft-Repair,Not-in-family,White,Male,0,0,40,United-States,0
40,Official,Masters,14,Never-married,Managerial-ProfSpecialty,Not-in-family,White,Female,14084,0,55,United-States,1
35,Private,Masters,14,Married,Managerial-ProfSpecialty,Other-relative,White,Male,7298,0,40,United-States,1
24,Self-employed,HS-grad,9,Never-married,Tech-Sales-AdmSupport,Not-in-family,White,Male,0,0,40,United-States,0
26,Private,Masters,14,Never-married,Managerial-ProfSpecialty,Not-in-family,White,Female,0,1876,40,United-States,0
19,,HS-grad,9,Never-married,,Own-child,White,Male,0,0,40,Europe,0
51,Private,Bachelors,13,Married,Managerial-ProfSpecialty,Husband,White,Male,0,0,50,United-States,1
42,Official,Some-college,10,Never-married,Managerial-ProfSpecialty,Not-in-family,White,Female,0,1340,40,United-States,0
37,Official,HS-grad,9,Divorced,Tech-Sales-AdmSupport,Unmarried,White,Female,0,0,35,United-States,0
18,Private,MS-grad,7,Never-married,Tech-Sales-AdmSupport,Own-child,White,Female,0,0,40,United-States,0
36,Private,Bachelors,13,Married,Service,Husband,Black,Male,7298,0,36,United-States,1
35,Private,HS-grad,9,Divorced,PrecisionProduction-Craft-Repair,Not-in-family,White,Male,0,0,60,United-States,0
58,Self-employed,HS-grad,9,Married,Tech-Sales-AdmSupport,Wife,White,Female,15024,0,35,United-States,1
17,Private,MS-grad,7,Never-married,Tech-Sales-AdmSupport,Own-child,White,Female,0,0,12,United-States,0
44,Official,HS-grad,9,Married,Operator-Fabricator-Laborer,Husband,Black,Male,0,0,40,United-States,0
37,Private,HS-grad,9,Married,PrecisionProduction-Craft-Repair,Husband,White,Male,0,0,40,United-States,1
35,Private,Some-college,10,Never-married,Tech-Sales-AdmSupport,Not-in-family,Amer-Indian-Eskimo,Female,0,0,40,United-States,0
60,Private,HS-grad,9,Married,PrecisionProduction-Craft-Repair,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,0
54,Self-employed,other,4,Married,Operator-Fabricator-Laborer,Husband,White,Male,0,0,40,United-States,1
37,Private,Bachelors,13,Never-married,Managerial-ProfSpecialty,Not-in-family,Black,Male,0,0,60,United-States,1
50,Private,Some-school,12,Divorced,Tech-Sales-AdmSupport,Not-in-family,White,Female,0,0,40,United-States,0
38,Private,Bachelors,13,Married,Tech-Sales-AdmSupport,Husband,White,Male,0,0,50,Europe,0
45,Private,Bachelors,13,Married,Managerial-ProfSpecialty,Husband,White,Male,0,0,55,United-States,0
25,Private,other,6,Never-married,PrecisionProduction-Craft-Repair,Not-in-family,White,Male,0,0,40,United-States,0
31,Private,Some-college,10,Married,Operator-Fabricator-Laborer,Husband,White,Male,0,0,40,United-States,0
64,,other,2,Divorced,,Not-in-family,White,Male,0,0,40,United-States,0
90,Private,HS-grad,9,Never-married,Service,Not-in-family,Black,Male,0,2206,40,United-States,0
54,Private,HS-grad,9,Married,Tech-Sales-AdmSupport,Husband,Black,Male,0,0,20,United-States,0
53,Official,other,1,Never-married,Operator-Fabricator-Laborer,Not-in-family,White,Female,0,0,35,United-States,0
18,Private,HS-grad,9,Never-married,Tech-Sales-AdmSupport,Own-child,White,Female,0,0,40,United-States,0
60,,other,6,Divorced,,Not-in-family,Amer-Indian-Eskimo,Female,0,0,10,United-States,0
66,Self-employed,HS-grad,9,Married,Farming-Forestry-Fishing,Husband,White,Male,1409,0,50,United-States,0
75,Private,Some-school,11,other,Tech-Sales-AdmSupport,Not-in-family,White,Female,0,0,20,Latin-America,0
65,Private,HS-grad,9,Divorced,Tech-Sales-AdmSupport,Not-in-family,White,Female,0,0,40,United-States,0
35,Private,MS-grad,7,other,Operator-Fabricator-Laborer,Not-in-family,Black,Male,3674,0,40,United-States,0
41,Private,HS-grad,9,Divorced,Tech-Sales-AdmSupport,Unmarried,Black,Female,0,0,38,United-States,0
25,Private,Some-college,10,Never-married,Tech-Sales-AdmSupport,Not-in-family,White,Male,0,0,42,United-States,0
33,Private,Some-college,10,Divorced,PrecisionProduction-Craft-Repair,Other-relative,Other,Female,0,0,40,United-States,0
28,Private,Masters,15,Never-married,Managerial-ProfSpecialty,Not-in-family,White,Male,0,0,55,United-States,1
59,Official,HS-grad,9,Married,Service,Husband,White,Male,0,0,40,United-States,0
40,Official,Some-college,10,Never-married,Tech-Sales-AdmSupport,Not-in-family,White,Female,0,0,38,United-States,0
41,Private,Bachelors,13,Married,Managerial-ProfSpecialty,Husband,White,Male,0,0,50,Asia,1
38,Official,Masters,14,Married,Managerial-ProfSpecialty,Husband,White,Male,0,0,70,United-States,1
23,Private,HS-grad,9,Never-married,Operator-Fabricator-Laborer,Own-child,White,Male,0,0,40,United-States,0
40,Private,Bachelors,13,Married,Managerial-ProfSpecialty,Husband,White,Male,0,0,40,United-States,1
41,Self-employed,HS-grad,9,Married,Service,Wife,White,Female,0,0,20,United-States,0
24,Official,Some-school,12,Married,Service,Husband,White,Male,0,0,50,United-States,0
20,,Some-college,10,Never-married,,Own-child,White,Male,0,0,20,United-States,0
38,Private,Some-college,10,Divorced,PrecisionProduction-Craft-Repair,Not-in-family,White,Male,0,1741,40,United-States,0
56,Private,HS-grad,9,Married,Tech-Sales-AdmSupport,Husband,White,Male,0,0,35,,0
58,Private,HS-grad,9,Married,Tech-Sales-AdmSupport,Husband,White,Male,0,0,45,United-States,1
32,Private,HS-grad,9,Never-married,Service,Not-in-family,White,Female,0,0,34,United-States,0
40,Private,Some-school,12,Married,Tech-Sales-AdmSupport,Husband,White,Male,0,1977,60,United-States,1
45,Private,HS-grad,9,Married,Tech-Sales-AdmSupport,Husband,White,Male,0,0,40,,0
41,Private,Masters,15,Married,Managerial-ProfSpecialty,Wife,White,Female,0,0,40,United-States,1
42,Private,Bachelors,13,Married,Tech-Sales-AdmSupport,Wife,Black,Female,0,0,40,United-States,0
59,Official,other,6,other,Service,Unmarried,Black,Female,0,0,30,United-States,0
19,Official,Some-college,10,Never-married,Tech-Sales-AdmSupport,Own-child,White,Male,0,0,40,United-States,0
58,Private,Some-college,10,Never-married,Operator-Fabricator-Laborer,Not-in-family,White,Male,0,0,20,United-States,0
42,Self-employed,HS-grad,9,Married,Farming-Forestry-Fishing,Husband,Asian-Pac-Islander,Male,0,0,40,Asia,1
20,Private,HS-grad,9,Never-married,Service,Own-child,White,Female,0,0,40,United-States,0
32,Private,HS-grad,9,other,Service,Not-in-family,White,Female,0,0,30,United-States,0
45,Private,Some-school,11,other,Managerial-ProfSpecialty,Not-in-family,White,Female,0,0,45,United-States,0
50,Private,other,4,Divorced,PrecisionProduction-Craft-Repair,Not-in-family,White,Male,0,0,40,United-States,0
36,Private,Bachelors,13,Divorced,Managerial-ProfSpecialty,Own-child,White,Female,0,0,40,United-States,0
45,Private,HS-grad,9,Married,Tech-Sales-AdmSupport,Husband,White,Male,0,0,60,United-States,0
17,Private,MS-grad,7,Never-married,Service,Own-child,White,Male,0,0,12,United-States,0
59,Private,Some-college,10,Married,Tech-Sales-AdmSupport,Husband,White,Male,4064,0,40,United-States,0
26,Private,MS-grad,7,Married,PrecisionProduction-Craft-Repair,Husband,White,Male,0,0,40,United-States,0
37,Self-employed,Some-college,10,Married,Managerial-ProfSpecialty,Husband,Asian-Pac-Islander,Male,0,0,75,Asia,1
19,,Some-college,10,Never-married,,Own-child,White,Male,0,0,24,North-America,0
